BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
MADHA,"Sugar and Starch Crops",2022-04-24T17:01:29.06,"Sugarcane (Noble Cane)",SOLAPUR,1197635,"ऊस पिकासाठी-१२ ६१ ०० ६० ग्रॅम + मायक्रोला ३० मिली / १५ लिटर पाण्यात घेऊन फवारणी करणे 
","FARMER ASKED ABOUT FERTILIZER SPRAY ON SUGARCANE??
","Fertilizer Use and Availability",NA,AGRICULTURE,MAHARASHTRA,24,4,2022
"AUNDHA  NAGNATH","Condiments and Spices",2022-04-24T17:02:24.237,Turmeric,HINGOLI,1197668,"हवामान विभागाच्या अंदाजानुसार आपल्या औंढा-नागनाथ तालुक्यात, या आठवड्यामध्ये वातावरण अंशतः ढगाळ राहील, हलक्या पावसाची शक्यता आहे. आजचे तापमान - कमाल - ४१ अंश सेल्सियस आणि किमान - २७ अंश सेल्सियस, वाऱ्याचा वेग - १० किलोमीटर/ तास आहे. हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे. धन्यवाद!
","Farmer asked query on Weather",Weather,NA,HORTICULTURE,MAHARASHTRA,24,4,2022
JAMKHED,Others,2022-04-25T09:01:04.307,Others,AHMADNAGAR,1200438,"⦁	प्रधानमंत्री किसान सन्मान निधी योजना संबंधी अधिक माहितीसाठी 011-24300606
नंबर वर संपर्क साधावा
⦁	प्रधान मंत्री किसान सम्मान कोष योजना के बारे में अधिक जानकारी के लिए संपर्क नंबर  011-24300606
","Farmer asked about PM Kisan Sanman Nidhi Yojana?
","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,25,4,2022
PAUNI,Others,2022-04-25T09:05:43.497,Others,BHANDARA,1200546,"पी एम किसान साठी तुमच्या जवळील तहसील ऑफिस ला जाऊन भेट द्यावी धन्यवाद
","FARMER ASKED ABOUT PM KISAN ?","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,25,4,2022
MANGALVEDHE,Others,2022-04-25T09:16:57.56,Others,SOLAPUR,1200431,"हवामान विभागाच्या अंदाजानुसार,आपल्या तालुक्यात येत्या आठवड्यात ढगाळ वातावरण राहील पावसाची शक्यता  तुरळक राहील.आजचे तापमान - कमाल - 40 अंश सेल्सियस आणि किमान - 28अंश सेल्सियस  ,वाऱ्याचा वेग - तासी 13  किलोमीटर आहे.हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन  पीक काढणी  आदी बाबींचे नियोजन करावे .","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,4,2022
MADHA,Oilseeds,2022-04-25T09:17:52.24,"Groundnut (pea nut/mung phalli)",SOLAPUR,1200553,"जीवामृत- तयार करण्यासाठी १० किलो गाईचे शेन + १० लिटर गाईचे गोमुत्र + २ किलो कडधान्याचे पीठ + 2 किलो गुल हे दोनशे लिटर पाण्यात घेऊन रोज सकाळी  7 दिवस चांगल्या पद्धतीने ढवळावे.
दशपर्णी अर्क - कडुलिंबाची पाने ५ किलो + करंज २ किलो+ निर्गुडी २ किलो +टनटनी २ किलो +सिताफळ ३ किलो + रुई २ किलो +कन्हेर २ किलो + पपई २ किलो + एरंड २ किलो+ गुळवेल २ किलो + गायीचे शेण २ किलो + गोमुत्र ५ लिटर हे सर्व मिश्रण प्लॅस्टिकच्या ड्रममधे घ्यावे. त्यात पाणी 150 लिटर घ्यावे ड्रममधे टाकल्यानंतर त्याचे झाकण पातळ कपड्याने झाकावे. दिवसातून कमीत कमी दोन वेळेस मिश्रण ढवळावे
असा तयार केलेला १२५ मिलि अर्क हा १० लिटर पाण्यात मिसळून त्याची पिकांवर फवारणी करतात.
","Farmer asked about Preparation of Jivamrut and   Preparation of Dashparni ark ? 

","Organic Farming",NA,AGRICULTURE,MAHARASHTRA,25,4,2022
LONAR,Others,2022-04-07T14:13:17.46,Others,BULDANA,1070494,"प्रधान मंत्री किसान निधि योजना के बारे में अधिक जानकारी के लिए, गाँव तलाटी मित्री से संपर्क करें या अपने तालुका तालुका विकास अधिकारी से संपर्क करें।","Farmer asked PM - KISAN scheme ( Adhar update )	","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,7,4,2022
IGATPURI,Millets,2022-04-06T12:52:26.897,"Maize (Makka)",NASIK,1064003,"मका बाजार भाव- - कमीत कमी2200  - रु/क्विंटल , जास्तीस्त जास्त -2700  रु/क्विंटल , सरासरी 2500  - रु/क्विंटल.
"," FARMER ASKED ABOUT MARKET RATE OF MAIZE   ?
","Market Information",NA,AGRICULTURE,MAHARASHTRA,6,4,2022
KANAND,Others,2022-04-06T12:58:04.303,Others,AURANGABAD,1064027,"प्रधान मंत्री किसान सन्मान निधी योजनांबद्दल अधिक माहितीसाठी तहसील कार्यालय किंवा सी एस सी केंद्राला भेट द्या किंवा 011 24300606/155261/1800115526 टोल फ्री क्रमांकावर संपर्क करा.
","FARMER ASKED ABOUT PM KISAN SANMAN NIDHI YOJNA ?
","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,6,4,2022
PUSAD,Pulses,2022-04-06T13:17:47.28,"Bengal Gram (Gram/Chick Pea/Kabuli/Chana)",YEVATMAL,1064052,"हरभरा उमरखेड  मार्केट बाजारभाव= किमान-४४००  कमाल - ४५००  सरासरी-४४५०  रु / क्विंटल 
","FARMER NEED  INFORMATION ABOUT BENGAL GRAM  MARKET RATE  ?
","Market Information",NA,AGRICULTURE,MAHARASHTRA,6,4,2022
DEGLUR,Oilseeds,2022-04-06T13:20:18.44,"Soybean (bhat)",NANDED,1064126,"सोयाबीन पिकामध्ये या अवस्थेमध्ये तण नाशकाची शिफारस केलेली नाही, त्यामुळे खुरपणी करून घ्यावी. धन्यवाद!","FARMER ASKED ABOUT WEED MANAGEMENT IN SOYBEAN CROP?","Weed Management",NA,AGRICULTURE,MAHARASHTRA,6,4,2022
HINGOLI,Others,2022-04-06T13:39:12.79,Others,HINGOLI,1064096,"--सुमन टॉवर द्वारका हॉस्पिटल, दुसरा मजला, तापडिया नगर, हिंगोली, महाराष्ट्र ४३१५१३","FARMER ASKED ABOUT SOIL TESTIBG LAB ?","Soil Testing",NA,AGRICULTURE,MAHARASHTRA,6,4,2022
KALAMNURI,Others,2022-04-06T13:53:41.15,Others,HINGOLI,1064064,"कळमनुरी तालुका हवामान अंदाज -- येत्या आठवड्यात वातावरण ढगाळ राहील, पावसाची शक्यता नाही, तापमान - किमान - 24 ℃ आणि कमाल - 43℃,  वाऱ्याचा वेग ताशी -7 किलोमीटर / ताशी, (हवामान अंदाजानुसार पिकांना पाणी देणे, पेरणी, खत मात्रा, पीक संरक्षण, तण व्यवस्थापन, पिकांची कापणी आदी बाबींचे नियोजन करावे.)
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,6,4,2022
BASMAT,Others,2022-04-06T13:58:50.213,Others,HINGOLI,1064107,"--SOYABEAN	PIVLA	QUINTAL	707	7200	7400	7300
TURMERIC	LOCAL	QUINTAL	1724	7200	11111	8655","Farmer asked query on Mandi details","Market Information",NA,AGRICULTURE,MAHARASHTRA,6,4,2022
PUSAD,Others,2022-04-06T14:05:07.76,Others,YEVATMAL,1064101,"--प्रधान मंत्री किसान सन्मान निधी संपर्क क्रमांक - १५५२६१ , ०११-२४३००६०६ , अधिक माहितीसाठी तहसील कार्यालय, तलाठी किंवा सीएससी सेंटर ला भेट द्या.
","Farmer asked information about Prime Minister Kisan Samman Yojana?
","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,6,4,2022
MANGRULPIR,Oilseeds,2022-04-06T14:08:33.05,"Groundnut (pea nut/mung phalli)",WASHIM,1064117,"शेंडे अळी नियंत्रण  - अळी नियंत्रणासाठी इमामेक्टीन बेन्झोएट ५%  ५ ग्रॅम/ १५   लिटर पाण्यामध्ये घेऊन फवारणी करावी"," FARMER NEED INFORMATION ABOUT CONTROL ATTACK OF LEAF EATING CATERPILLAR IN GROUNDNUT  ? ","	Plant Protection	",NA,AGRICULTURE,MAHARASHTRA,6,4,2022
JAFRABAD,Others,2022-04-06T14:12:10.217,Others,JALNA,1063970,,"Farmer asked query on Mandi details","Market Information",NA,AGRICULTURE,MAHARASHTRA,6,4,2022
KANAND,"Condiments and Spices",2022-04-06T14:28:17.243,Ginger,AURANGABAD,1064114,"आले  बाजारभाव -कमीत कमी ८०० जातीत जास्ती- २४०० सरासरी-१६०० प्रति क्विंटल 
","FARMER ASKED ABOUT MARKET RATE OF GINGER CROP  ?","Market Information",NA,HORTICULTURE,MAHARASHTRA,6,4,2022
KARANJA,Others,2022-04-06T14:29:05.057,Others,WASHIM,1064044,"--COTTON	H-4 - MEDIUM STAPLE	QUINTAL	190	10500	12500	11000","Farmer asked query on Mandi details","Market Information",NA,AGRICULTURE,MAHARASHTRA,6,4,2022
KHAMGAON,Others,2022-04-06T14:34:40.903,Others,BULDANA,1066728,"खामगाव तालुका  हवामान अंदाज - येत्या आठवड्यात वातावरण ढगाळ राहील, हलक्या ते मध्यम पावसाची शक्यता आहे, तापमान - किमान - 25 ℃ आणि कमाल- 44 ℃ , वाऱ्याचा वेग ताशी - 11किलोमीटर/ ताशी, हवामान अंदाजानुसार पिकांना पाणी देणे, पेरणी, खत मात्रा, पीक संरक्षण, तण व्यवस्थापन, पिकांची कापणी आदी बाबींचे नियोजन करावे.धन्यवाद.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,6,4,2022
IGATPURI,Others,2022-04-06T14:48:38.097,Others,NASIK,1066602,"प्रधानमंत्री  किसान सन्मान निधी योजना अधिक माहितीसाठी - १५५२६१ / ०११२४३००६०६ या नंबर वर संपर्क करावा ","FARMER ASKED ABOUT PM KISAN SANMAN NIDHI SCHEME ? ","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,6,4,2022
KADEGAON,Others,2022-04-06T14:50:54.623,Others,SANGLI,1066589,"हवामान विभागाच्या अंदाजानुसार आपल्या कड़ेगओं तालुक्यात, येत्या आठवड्यात वातावरण अंशतः ढगाळ राहील आणि कोणत्याही पावसाची शक्यता नाही. आजचे कमाल तापमान २९ अंश सेल्सियस आणि किमान तापमान २२ अंश सेल्सियस राहील. वाऱ्याचा वेग -७ मीटर प्रति सेकंड राहील, हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे, धन्यवाद.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,6,4,2022
AKKALKOT,Others,2022-04-06T15:05:30.97,Others,SOLAPUR,1066569,"हवामान विभागाच्या अंदाजानुसार आपल्या अक्कलकोट तालुक्यात, येत्या आठवड्यात वातावरण अंशतः ढगाळ राहील आणि कोणत्याही पावसाची शक्यता नाही. आजचे कमाल तापमान २७ अंश सेल्सियस आणि किमान तापमान २० अंश सेल्सियस राहील. वाऱ्याचा वेग- ८ मीटर प्रति सेकंड राहील, हवामान अंदाजानुसार पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे, धन्यवाद.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,6,4,2022
INDAPUR,Others,2022-04-06T15:08:00.107,Others,PUNE,1066637,"PMKISAN नोंदणीकृत शेतकऱ्यांसाठी eKYC अनिवार्य आहे. कृपया. बायोमेट्रिक प्रमाणीकरणासाठी जवळच्या CSC केंद्रांशी संपर्क साधा
OTP प्रमाणीकरणाद्वारे आधार आधारित eKYC तात्पुरते निलंबित करण्यात आले आहे. सर्व PMKISAN लाभार्थ्यांसाठी eKYC ची अंतिम मुदत 31 मे 2022 पर्यंत वाढवण्यात आली आहे.
","asked about pradhanmantri kisan sanman nidhi yojana details.
","Government Schemes",NA,AGRICULTURE,MAHARASHTRA,6,4,2022
YEOLA,Vegetables,2022-04-06T15:12:27.97,Onion,NASIK,1066629," कांदा पिकाचे बाजारभाव - मार्केट - कमीत कमी - 200 रु/क्विंटल जास्तीत जास्त - 754	रु/क्विंटल , सरासरी भाव - 560 रु/क्विंटल, धन्यवाद.
	
","asked about market rate of onion?","Market Information",NA,HORTICULTURE,MAHARASHTRA,6,4,2022
KALAMB,Pulses,2022-04-06T15:22:57.56,"Bengal Gram (Gram/Chick Pea/Kabuli/Chana)",OSMANABAD,1066662,"हरभरा पिकाचे बाजारभाव - मार्केट - कमीत कमी - 4650रु/क्विंटल जास्तीत जास्त - 4670	रु/क्विंटल , सरासरी भाव - 4660 रु/क्विंटल, धन्यवाद.
","ASKED ABOUT MARKET RATE OF GRAM IN UDGIR MARKET?
","Market Information",NA,AGRICULTURE,MAHARASHTRA,6,4,2022
ASHTI,Vegetables,2022-04-25T12:08:10.633,Onion,WARDHA,1200515,"कांदा पिकामध्ये करपा नियंत्रणासाठी आणि प्रतिबंधात्मक मॅन्कोझेब 30 ग्रॅम 15 लिटर पाण्यामध्ये द्रावण करून फवारणी करावी धन्यवाद","Farmer asked about blight control in onion crop ?","	Plant Protection	",NA,HORTICULTURE,MAHARASHTRA,25,4,2022
BAGLAN,Others,2022-04-25T12:09:49.287,Others,NASIK,1200463,"बागलाण तालुक्याचा हवामान अंदाज :-  येत्या आठवड्यात वातावरण ढगाळ राहील व  पावसाची शक्यता नाही . तापमान = किमान  २९     °c , कमाल ४०°c . आर्द्रता = किमान ४६   % , कमाल ७८  % .   वाऱ्याचा वेग १४   कि.मी./ तास धन्यवाद.","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,4,2022
BHUDARGAD,Others,2022-04-25T12:32:20.473,Others,KOLHAPUR,1200412,"तालुक्यातील हवामान अंदाज - येत्या आठवड्यात वातावरण ढगाळ आहे तुरळक ठिकाणी हलक्या पावसाची शक्यता आहे.
तापमान = कमीत कमी 25 सेल्सियस-  जास्तीत जास्त 39 सेल्सियस आजचा वाऱ्याचा वेग=  5 किमी/ताशी  
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,4,2022
GADHINGLAJ,Others,2022-04-25T12:32:35.37,Others,KOLHAPUR,1200577,"किसान क्रेडिट कार्ड साठी नवीन नोंदणी करताना महा ए सेवा केंद्रा मधुन करून घ्यावे धन्यवाद","ASKED ABOUT KISAN CREDIT CARD NEW REGISTRATION ?",Credit,NA,AGRICULTURE,MAHARASHTRA,25,4,2022
SANGAMNER,Others,2022-04-25T12:44:32.803,Others,AHMADNAGAR,1200501," अहमदनगर -संगमनेर तालुका- हवामान अंदाज -त्या ५ दिवसात वातावरण ढगाळ राहील आणि पावसाची शक्यता नाही ,सरासरी तापमान -किमान - 22  अंश सेल्सियस आणि कमाल - 41 अंश सेल्सियस, हवेचा वेग - 15 किलो मीटर / ताशी, धन्यवाद ! 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,4,2022
SANGAMNER,Others,2022-04-25T12:44:44.533,Others,AHMADNAGAR,1200503," अहमदनगर -संगमनेर तालुका- हवामान अंदाज -त्या ५ दिवसात वातावरण ढगाळ राहील आणि पावसाची शक्यता नाही ,सरासरी तापमान -किमान - 22  अंश सेल्सियस आणि कमाल - 41 अंश सेल्सियस, हवेचा वेग - 15 किलो मीटर / ताशी, धन्यवाद ! 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,25,4,2022
KAVATHEMAHANKAL,Vegetables,2022-04-26T16:23:04.263,Brinjal,SANGLI,1212471,"वांगी पीक यामधील अळी नियंत्रणा साठी-
प्रोक्लेम ( इमामेक्टिन बेंझोट 5 % SG) 07 ग्रॅम/15लिटर पाण्यामध्ये घेऊन फवारणी करावी.­­­
","FARMER ASKED ABOUT ATTACK OF CATTERPILLAR ON BRINJAL  ? ","	Plant Protection	",NA,HORTICULTURE,MAHARASHTRA,26,4,2022
CHALISGAON,Others,2022-04-26T16:32:56.43,Others,JALGAON,1212501,"तालुका हवामान अंदाज -येत्या आठवड्यात ढगाळ वातावरण राहील,पावसाची शक्यता /नाही
तापमान(अंश सेल्सियस ) -१८ आणि कमाल- ३२,
वाऱ्याचा वेग(किमी/तास) -१२ ,धन्यवाद
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,MAHARASHTRA,26,4,2022
UDGIR,Pulses,2022-04-22T16:01:23.213,"Pigeon pea (red gram/arhar/tur)",LATUR,1183532,"तूर पीक जाती - 	
आयसीपीएल ८७११९ (आशा), एकेटी ८८११, आयसीपीएल ८७, विपुला, राजेश्वरी, 	
पी के व्ही तारा, पी के व्ही तारा.","FARMER ASKE DABOUT VARIETY OF RED GRAM.",Varieties,NA,AGRICULTURE,MAHARASHTRA,22,4,2022
