BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
TURUVEKERE,Pulses,2022-06-22T14:32:28.893,"Mochai (lab-lab)",TUMKUR,1688871,"Suggested to Contact:- 18004253553
","Asked about Varieties in field bean.
",Varieties,NA,AGRICULTURE,KARNATAKA,22,6,2022
BELLARY,Oilseeds,2022-06-22T14:51:07.147,"Soybean (bhat)",BELLARY,1689603,"suggested tom do with bevistin","asked about seed treatment ",Seeds,NA,AGRICULTURE,KARNATAKA,22,6,2022
BHALKI,Others,2022-06-22T14:51:51.373,Others,BIDAR,1689569,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇದೆ (50%).ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ 08067735999 / 9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,22,6,2022
KOLAR,Others,2022-06-22T14:58:16.71,Others,KOLAR,1689596,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಇಂದು ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇದೆ 50 %. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗೆ ವರುಣ ಮಿತ್ರ 08067735999 or 9243345433 ಸಂಪರ್ಕಿಸಬಹುದು.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,22,6,2022
HARAPPANAHALLI,Oilseeds,2022-06-22T15:09:05.523,"Groundnut (pea nut/mung phalli)",DAVANAGERE,1689579,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 60% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,22,6,2022
SINDAGI,Others,2022-06-22T15:19:07.89,Others,BIJAPUR,1690360,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 50% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು  ,  ಭಾಗಶಃ ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ , ಇಂದಿನ ನಿರೀಕ್ಷೆ (ಗರಿಷ್ಠ ತಾಪಮಾನ 30° C ಮತ್ತು ಕನಿಷ್ಠ ತಾಪಮಾನ 21° ಮತ್ತು ಗಾಳಿಯ ವೇಗ ಗಂಟೆಗೆ 11ಕಿಲೋಮೀಟರ್ ವೇಗದಲ್ಲಿ ಚಲಿಸುವ ಸಾಧ್ಯತೆಯಿದೆ).   ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,22,6,2022
CHITAPUR,Pulses,2022-06-22T15:22:55.343,"Pigeon pea (red gram/arhar/tur)",GULBARGA,1690367,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 60% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,22,6,2022
DEVADURGA,Others,2022-06-04T12:13:13.59,Others,RAICHUR,1511512,"PM-Kisan Helpline No: 011-24300606  /  011 23381092 / 011 23382401 / 0120 6025109 /  155261

1800 1155 266 / 1800 425 3553

ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಪಿಎಂ - ಕಿಸಾನ್ ಯೋಜನೆ ) 
8277929824  
080 22074156 
080 22074114 
","Asked about PM Kisan Samman Nidhi yojana 
","Government Schemes",NA,AGRICULTURE,KARNATAKA,4,6,2022
SHIGGAON,Others,2022-06-04T12:16:55.107,Others,HAVERI,1511476,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಇಂದು ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇದೆ 50 %. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗೆ ವರುಣ ಮಿತ್ರ 08067735999 or 9243345433 ಸಂಪರ್ಕಿಸಬಹುದು.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,4,6,2022
CHITRADURGA,Others,2022-06-04T12:19:47.357,Others,CHITRADURGA,1511565,"CALL DISCONNECTED
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,4,6,2022
RAICHUR,"Fiber Crops",2022-06-04T12:31:47.393,"Cotton (Kapas)",RAICHUR,1511711,"Suggested that :
Varieties : DCH ,BT , Varalakshmi 
15 quintals of cotton is produced in one acre of land
","Asked about Cultural practices in  cotton                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
","Cultural Practices",NA,AGRICULTURE,KARNATAKA,4,6,2022
HANAGAL,Others,2022-06-04T12:39:33.157,Others,HAVERI,1511548,"PM-Kisan Helpline No: 011-24300606  /  011 23381092 / 011 23382401 / 0120 6025109 /  155261

1800 1155 266 / 1800 425 3553

ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಪಿಎಂ - ಕಿಸಾನ್ ಯೋಜನೆ ) 
8277929824  
080 22074156 
080 22074114 ","Asked about PM Kisan Samman Nidhi yojana 
","Government Schemes",NA,AGRICULTURE,KARNATAKA,4,6,2022
BASAVAKALYAN,Others,2022-06-04T12:52:00.947,Others,BIDAR,1511577,"PM-Kisan Helpline No: 011-24300606  /  011 23381092 / 011 23382401 / 0120 6025109 /  155261

1800 1155 266 / 1800 425 3553

ಉಪ ಕೃಷಿ ನಿರ್ದೇಶಕರು (ಪಿಎಂ - ಕಿಸಾನ್ ಯೋಜನೆ ) 
8277929824  
080 22074156 
080 22074114 ","Asked about PM Kisan Samman Nidhi yojana 
","Government Schemes",NA,AGRICULTURE,KARNATAKA,4,6,2022
"0   ",Others,2022-06-04T13:00:03.46,Others,BANGALORE,1511637,"OTHER STATE CALL
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,4,6,2022
ATHNI,Others,2022-06-16T14:14:37.353,Others,BELGAUM,1634753,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಇಂದು ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇಲ್ಲ 10 - 20%. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗೆ ವರುಣ ಮಿತ್ರ 08067735999 or 9243345433 ಸಂಪರ್ಕಿಸಬಹುದು.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,16,6,2022
"0   ",Others,2022-06-16T14:28:28.233,Others,RAMANAGARA,1635438,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಇಂದು ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇಲ್ಲ 10 - 20%. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗೆ ವರುಣ ಮಿತ್ರ 08067735999 or 9243345433 ಸಂಪರ್ಕಿಸಬಹುದು.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,16,6,2022
HARAPPANAHALLI,Others,2022-06-16T14:33:56.79,Others,DAVANAGERE,1633310,"CALL DISCONNECTED
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,16,6,2022
INDI,Others,2022-06-09T15:05:45.027,Others,BIJAPUR,1570346," ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆ ನಿರೀಕ್ಷೆ ಇಲ್ಲ (30%). ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ 08067735999 / 9243345433 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,9,6,2022
BIJAPUR,Millets,2022-06-09T15:06:51.76,"Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)",BIJAPUR,1570348,"No price details found for Bajra(Pearl Millet/Cumbu) in Bijapur mandi.","Farmer asked price detail of Bajra(Pearl Millet/Cumbu) in Bijapur mandi","Market Information",NA,AGRICULTURE,KARNATAKA,9,6,2022
HIRIYUR,"Plantation Crops",2022-06-09T15:07:06.51,Arecanut,CHITRADURGA,1570407,"Given necessary information
Apply boron and zinc at 20 gram per tree","Asked about nutrient management in arecanut
","Nutrient Management",NA,HORTICULTURE,KARNATAKA,9,6,2022
CHICKMAGALUR,Others,2022-06-09T15:11:23.363,Others,CHIKMAGALUR,1570444,"ಇಂದು  ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಭಾಗಶಃ ಮೋಡಕವಿದ ವಾತಾವರಣವಿದ್ದು ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇಲ್ಲ (10-20%). ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ಹವಾಮಾನ ಇಲಾಖೆ ವರುಣ ಮಿತ್ರ ನಂಬರ್  08067735999 or 9243345433 ಅನ್ನು ಸಂಪರ್ಕಿಸಿ.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,9,6,2022
KRISHNARAJPET,Others,2022-06-09T15:14:56.76,Others,MANDYA,1570370,"Given necessary information","Asked about planting cashew plants","Cultural Practices",NA,AGRICULTURE,KARNATAKA,9,6,2022
BADAMI,"Sugar and Starch Crops",2022-06-09T15:17:59.937,"Sugarcane (Noble Cane)",BAGALKOT,1570433,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 60% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,9,6,2022
HUNGUND,"Medicinal and Aromatic Plants",2022-06-09T15:22:12.023,Mentha,BAGALKOT,1571028,"ಇಂದು  ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಭಾಗಶಃ ಮೋಡಕವಿದ ವಾತಾವರಣವಿದ್ದು ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇಲ್ಲ (10-20%). ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ಹವಾಮಾನ ಇಲಾಖೆ ವರುಣ ಮಿತ್ರ ನಂಬರ್  08067735999 or 9243345433 ಅನ್ನು ಸಂಪರ್ಕಿಸಿ.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,9,6,2022
HONAVAR,"Plantation Crops",2022-06-09T15:26:12.933,Arecanut,UTTARAKANNADA,1571061,"Suggested to Apply 10 26 26 50kg/acre and areca special
--","Asked about Nutrient management in  arecanut
","Nutrient Management",NA,HORTICULTURE,KARNATAKA,9,6,2022
SHIKARPUR,Cereals,2022-06-09T15:33:09.78,"Paddy (Dhan)",SHIMOGA,1571006,"ಇಂದು ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆ ನಿರೀಕ್ಷೆ ಇಲ್ಲ(25%)  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433 403725347307
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,9,6,2022
SHIRAHATTI,Others,2022-06-09T15:41:03.45,Others,GADAG,1571021,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಇಂದು ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇದೆ 50 %. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗೆ ವರುಣ ಮಿತ್ರ 08067735999 or 9243345433 ಸಂಪರ್ಕಿಸಬಹುದು.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,9,6,2022
HIRIYUR,Millets,2022-06-12T11:09:15.99,"Sorghum (Jowar/Great Millet)",CHITRADURGA,1595878,"ಇಂದು ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆ ನಿರೀಕ್ಷೆ ಇಲ್ಲ(25%)  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433 403725347307
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,12,6,2022
KUDLIGI,Millets,2022-06-12T11:47:35.453,"Maize (Makka)",BELLARY,1596559,"Recommended to Spray Emamectin benzoate 5 % SG 5 g/20 lit for FEEDERS.
","Asked about plant protection 
","	Plant Protection	",NA,AGRICULTURE,KARNATAKA,12,6,2022
BELLARY,Millets,2022-06-12T11:51:12.47,"Maize (Makka)",BELLARY,1596571,"Do seed treatment with thiomethoxam (1 gram per kg seeds) or imidachloprid  (3 gram per kg seeds)","Asked about plant protection in maize 
","	Plant Protection	",NA,AGRICULTURE,KARNATAKA,12,6,2022
BIJAPUR,Others,2022-06-12T11:59:52.093,Others,BIJAPUR,1596558,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಇಂದು ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇದೆ 50 %. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗೆ ವರುಣ ಮಿತ್ರ 08067735999 or 9243345433 ಸಂಪರ್ಕಿಸಬಹುದು.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,12,6,2022
RAICHUR,"Fiber Crops",2022-06-17T14:11:41.853,"Cotton (Kapas)",RAICHUR,1643653,"ಇಂದು ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆ ನಿರೀಕ್ಷೆ ಇಲ್ಲ(25%)  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433 403725347307","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,17,6,2022
SAVANUR,Oilseeds,2022-06-17T14:12:58.467,"Groundnut (pea nut/mung phalli)",HAVERI,1643641,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 50% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು  ,  ಭಾಗಶಃ ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ , ಇಂದಿನ ನಿರೀಕ್ಷೆ (ಗರಿಷ್ಠ ತಾಪಮಾನ 30° C ಮತ್ತು ಕನಿಷ್ಠ ತಾಪಮಾನ 21° ಮತ್ತು ಗಾಳಿಯ ವೇಗ ಗಂಟೆಗೆ 11ಕಿಲೋಮೀಟರ್ ವೇಗದಲ್ಲಿ ಚಲಿಸುವ ಸಾಧ್ಯತೆಯಿದೆ).   ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,17,6,2022
MUDDEBIHAL,Others,2022-06-17T14:18:13.49,Others,BIJAPUR,1642258,"CALL DISCONNECTED
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,17,6,2022
MADHUGIRI,Oilseeds,2022-06-17T14:22:50.637,"Groundnut (pea nut/mung phalli)",TUMKUR,1644301,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 60% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,17,6,2022
RAICHUR,"Fiber Crops",2022-06-17T14:29:04.217,"Cotton (Kapas)",RAICHUR,1644303,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇಲ್ಲ . ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,17,6,2022
HIREKERUR,Millets,2022-06-17T14:37:42.693,"Maize (Makka)",HAVERI,1644299,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 60% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,17,6,2022
MOLAKALMURU,Oilseeds,2022-06-17T14:40:08.63,"Groundnut (pea nut/mung phalli)",CHITRADURGA,1644289,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 60% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,17,6,2022
CHITRADURGA,Others,2022-06-17T14:50:03.37,Others,CHITRADURGA,1644333,"IIHR=  08028446815, 080-28466370
 011-23381092 , 080-22370281 , ","Asked about IIHR Contact Details
",Varieties,NA,AGRICULTURE,KARNATAKA,17,6,2022
CHALLAKERE,"Fiber Crops",2022-06-17T14:51:07.457,"Cotton (Kapas)",CHITRADURGA,1644819,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 60% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ  ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,17,6,2022
"0   ",Others,2022-06-17T14:54:13.427,Others,BELGAUM,1645028," ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಮಳೆ ನಿರೀಕ್ಷೆ ಇಲ್ಲ (30%). ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ 08067735999 / 9243345433 
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,17,6,2022
BASAVAKALYAN,Others,2022-06-18T13:07:06.09,Others,BIDAR,1651903,"ಇಂದು ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಭಾಗಶಃ ಮೋಡಕವಿದ ವಾತಾವರಣವಿದ್ದು ಸಾಮಾನ್ಯ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇದೆ (50%). ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ಹವಾಮಾನ ಇಲಾಖೆ ವರುಣ ಮಿತ್ರ ನಂಬರ್  08067735999 or 9243345433 ಅನ್ನು ಸಂಪರ್ಕಿಸಿ.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,18,6,2022
NELAMANGALA,Others,2022-06-18T13:12:22.93,Others,"BANGALORE RURAL",1651897,"ಇಂದು ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಭಾಗಶಃ ಮೋಡಕವಿದ ವಾತಾವರಣವಿದ್ದು ಸಾಮಾನ್ಯ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇದೆ (50%). ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ಹವಾಮಾನ ಇಲಾಖೆ ವರುಣ ಮಿತ್ರ ನಂಬರ್  08067735999 or 9243345433 ಅನ್ನು ಸಂಪರ್ಕಿಸಿ.
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,18,6,2022
"BASAVANA BAGEWADI",Oilseeds,2022-06-18T13:14:31.177,"Groundnut (pea nut/mung phalli)",BIJAPUR,1651892,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 50% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು  ,  ಭಾಗಶಃ ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ , ಇಂದಿನ ನಿರೀಕ್ಷೆ (ಗರಿಷ್ಠ ತಾಪಮಾನ 30° C ಮತ್ತು ಕನಿಷ್ಠ ತಾಪಮಾನ 21° ಮತ್ತು ಗಾಳಿಯ ವೇಗ ಗಂಟೆಗೆ 11ಕಿಲೋಮೀಟರ್ ವೇಗದಲ್ಲಿ ಚಲಿಸುವ ಸಾಧ್ಯತೆಯಿದೆ).   ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,18,6,2022
MADHUGIRI,Others,2022-06-18T13:21:32.413,Others,TUMKUR,1651108,"Given necessary information
","Asked about raithara vidyanidhi scholarship scheme
","Government Schemes",NA,AGRICULTURE,KARNATAKA,18,6,2022
ATHNI,"Sugar and Starch Crops",2022-06-18T13:35:36.383,"Sugarcane (Noble Cane)",BELGAUM,1652552,"suggested to apply 10:26:26 @ 45kg per acre and boron and zinc @ 5kg per acre sugarcane special @ 5ml per lit of water","Asked about Nutrient management in sugarcane 
","Nutrient Management",NA,AGRICULTURE,KARNATAKA,18,6,2022
"0   ",Others,2022-06-18T13:38:16.987,Others,"BANGALORE RURAL",1652566,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 70% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು  ,  ಭಾಗಶಃ ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ , ಇಂದಿನ ನಿರೀಕ್ಷೆ (ಗರಿಷ್ಠ ತಾಪಮಾನ 30° C ಮತ್ತು ಕನಿಷ್ಠ ತಾಪಮಾನ 21° ಮತ್ತು ಗಾಳಿಯ ವೇಗ ಗಂಟೆಗೆ 11ಕಿಲೋಮೀಟರ್ ವೇಗದಲ್ಲಿ ಚಲಿಸುವ ಸಾಧ್ಯತೆಯಿದೆ).   ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,18,6,2022
RAMDURG,Others,2022-06-18T13:43:24.653,Others,BELGAUM,1652554,"ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 70% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು  ,  ಭಾಗಶಃ ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ , ಇಂದಿನ ನಿರೀಕ್ಷೆ (ಗರಿಷ್ಠ ತಾಪಮಾನ 30° C ಮತ್ತು ಕನಿಷ್ಠ ತಾಪಮಾನ 21° ಮತ್ತು ಗಾಳಿಯ ವೇಗ ಗಂಟೆಗೆ 11ಕಿಲೋಮೀಟರ್ ವೇಗದಲ್ಲಿ ಚಲಿಸುವ ಸಾಧ್ಯತೆಯಿದೆ).   ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
","Farmer asked query on Weather",Weather,NA,AGRICULTURE,KARNATAKA,18,6,2022
